CID,SMILES
5014398,CC1=NC2=C(C(=N1)SCC3=CC=CC=C3)OC4=CC=CC=C42
2811632,CC(=O)NC1=C(C=C(C=C1)S(=O)(=O)NC2=CC3=C(C=C2)OCCO3)Cl
20914080,COC(=O)CN1C(=O)COC2=C1C=C(C=C2)S(=O)(=O)NCC3=CC=CC=C3
1916664,CCCCC(=O)NC(=O)NC(C1=CC=CC=C1)C2=CC=CC=C2
734484,CC1=CC(=NC(=N1)NC2=CC=C(C=C2)C(=O)C)C
16189091,C1CC(CN(C1)C(=O)C2=CC=CO2)CCC(=O)NCC3=CC=CC=C3F
797063,COC1=CC=CC=C1NC(=S)NCC2=CC=CC=C2
2788369,COC1=CC=C(C=C1)NC(=O)C2COC3=CC=CC=C3O2
736355,CC1=CC(=NC2=C1C(=C(S2)C(=O)NN)N)C
855092,CC1=CC(=CC=C1)C(=O)NNC(=O)CSC2=NN=C(N2C)C3CC3
4979289,CCCC(=O)N(CC1=CC(=O)NC2=CC=CC=C21)C3=CC=C(C=C3)OC
729609,CC1=CC(=C(C=C1)C)OCC(=O)NC2=CC=C(C=C2)N3CCOCC3
3124417,CCN1C2=CC=CC=C2N(C1(C)C3=CC=CC=C3)C
9361763,C1COCCN1S(=O)(=O)C2=C(SC=C2)C(=O)O
5916229,CN(C)/C(=N\S(=O)(=O)C1=CC=C(C=C1)Br)/C2=CC=CC=C2
16194574,CCN1CCN(CC1)C(CNS(=O)(=O)C2=CC=CS2)C3=CN=CC=C3
2921335,C1CCN(C1)C(=S)NC(=O)C2=CC=CC=C2Cl
4051793,CC(=O)NC1=C2CS(=O)(=O)CC2=NN1C3=CC(=CC=C3)Cl
9594985,CC1=CC(=C2C=CC=C(C2=N1)OC)N/N=C/C3=CC=CC=C3
2979574,CCN(CC)C1=CC=C(C=C1)CNCCC2=CC=C(C=C2)F.Cl
921739,CC1=CC(=C(C2=NC3=CC=CC=C3N12)C(=O)NN)C
3759278,C1=CC=C(C=C1)CN2C(=CN=C2SCC3=CC=CC=C3)CO
947860,C1=CC=C(C=C1)CNC(=O)CC(=O)NCC2=CC=C(C=C2)Cl
4052011,C1=CC=C2C(=C1)C(=O)N(C(=N2)C3=CC=C(C=C3)F)N
706589,CN1C2=C(C(=O)NC1=O)N(C(=N2)SC)CCCC3=CC=CC=C3
748538,C1CC2=[N+](ON=C2C3=C1NC(=N3)C4=CC=CC=C4)[O-]
2151927,CN1CCC2=C(C1=O)C=CC=C2OCC(=O)N3CCC4=CC=CC=C43
16237934,CC1=CC=C(C=C1)N/N=C/C2=CC=NC=C2.Cl
872545,COC1=C(C=C2C(=C1)CCN=C2C3=CC(=CC=C3)[N+](=O)[O-])OC
4801465,C1C(OC2=CC=CC=C2O1)CNC(=O)COC3=CC=C(C=C3)C#N
657720,C1CCC(CC1)N2CCC3=C(C4=CC=CC=C4N=C32)N
734481,CC1=CC(=NC(=N1)NC2=CC=C(C=C2)NC(=O)C)C
9366137,CCOC1=CC=C(C=C1)C(=O)NCC(=O)NCCOC2=CC=C(C=C2)C
9507211,CCC1=CC2=C(S1)N=CN=C2SCC3=CC=C(O3)C(=O)OC
3162485,CN1C2=C(C(=O)N(C1=O)CC=C)N3CCCN(C3=N2)CC4=CC=CC=C4
2545149,CC1=CC=CC=C1NC2=NC(=NC(=N2)N)CSC3=NN=NN3C
6487481,C1=CC(=CC=C1CN2C(=NOC2=O)C3=CC=C(C=C3)F)C#N
5308470,CCOC1=CC=CC=C1NC(=O)CN(C2=CC(=CC(=C2)C)C)S(=O)(=O)C3=C(ON=C3C)C
20934807,CCN(C1C(=O)C2=CC=CC=C2N1C(=O)C)C3=CC=CC(=C3)C
2730432,CC1=C(C=C(C=C1)NC2=NC(=NC=N2)N3C=CC=C3)Cl
2809369,C1CCC(CC1)NC(=S)NC2CC3CC2C=C3
135512260,CC(COC)N=C1NN=C(CS1)C2=CC=C(C=C2)NC(=O)C
3155567,C1CSC(=N1)NC(=O)C2CC(=O)N(C2)C3=CC=C(C=C3)Cl
24981766,COC1=CC=CC=C1CCC(=O)NNC(=O)C2=CC=NC=C2
4317247,C=CCN(CC=C)CC(=O)NC1=CC(=CC=C1)OC2=NC=CN=C2
