CID,target,Activity at 10.0 uM
2176767,0,-29.9982
2134766,0,-29.9874
802924,0,-29.9864
4214295,0,-29.9809
3222855,0,-29.9777
761921,0,-29.971
2746836,0,-29.9551
5770860,0,-29.9506
703908,0,-29.941
6492101,0,-29.9375
4219525,0,-29.9349
2474210,0,-29.9329
5721306,0,-29.9322
24818656,0,-29.9322
923862,0,-29.9321
897343,0,-29.9288
8177315,0,-29.9276
24819810,0,-29.925
3767351,0,-29.9228
9669494,0,-29.9223
5057434,0,-29.9129
2853283,0,-29.8928
2534340,0,-29.8909
16510799,0,-29.8859
2800176,0,-29.885
6874667,0,-29.8797
2592012,0,-29.8791
9360813,0,-29.8786
24818667,0,-29.8696
677475,0,-29.8668
24818636,0,-29.8638
24677799,0,-29.8436
6469954,0,-29.8409
2969322,0,-29.8338
1504449,0,-29.8096
2099761,0,-29.8093
2809982,0,-29.8047
135676249,0,-29.8004
738884,0,-29.7814
841522,0,-29.7745
9563385,0,-29.7737
1228655,0,-29.7704
16297657,0,-29.7578
9622005,0,-29.7553
9557450,0,-29.7412
7943589,0,-29.7402
9506554,0,-29.7387
955198,0,-29.7381
16194125,0,-29.7356
3711227,0,-29.7279
2815214,0,-29.7257
759234,0,-29.7142
958670,0,-29.7079
567688,0,-29.6898
2579466,0,-29.6872
5916927,0,-29.6789
5079115,0,-29.6777
2332104,0,-29.6752
2958991,0,-29.6669
7502688,0,-29.6653
2666420,0,-29.6625
6862268,0,-29.6544
888932,0,-29.6519
823359,0,-29.6479
4355579,0,-29.6416
2787512,0,-29.6355
25237459,0,-29.6335
197763,0,-29.6293
4770337,0,-29.6248
4614074,0,-29.6242
855347,0,-29.6181
6487962,0,-29.6071
24819106,0,-29.604
6624390,0,-29.6001
8186050,0,-29.5985
6466779,0,-29.5979
6490918,0,-29.5933
2164898,0,-29.5929
4877576,0,-29.5828
905918,0,-29.5724
2862043,0,-29.5714
20523,0,-29.5564
894100,0,-29.5444
6884979,0,-29.5411
24818080,0,-29.5101
7244114,0,-29.4911
7770356,0,-29.4901
5793951,0,-29.4743
23723501,0,-29.4684
2732845,0,-29.456
6456987,0,-29.4364
3599499,0,-29.4301
9557686,0,-29.4218
977408,0,-29.4202
2723860,0,-29.4134
135423525,0,-29.4092
741601,0,-29.4056
3126370,0,-29.405
2964849,0,-29.4042
2745306,0,-29.4042
2259972,0,-29.4017
1946601,0,-29.3995
24100990,0,-29.3945
16807026,0,-29.3937
2118443,0,-29.3911
2558548,0,-29.3784
24818307,0,-29.3761
9580998,0,-29.3721
916371,0,-29.3677
1977109,0,-29.3671
686436,0,-29.3523
748686,0,-29.33
4785456,0,-29.3279
295274,0,-29.3265
708445,0,-29.2989
5338193,0,-29.2854
712057,0,-29.2783
2396090,0,-29.2766
914296,0,-29.2565
3152342,0,-29.2468
2943685,0,-29.2442
4652205,0,-29.2442
1508705,0,-29.2408
765795,0,-29.2341
6905143,0,-29.2275
1095440,0,-29.2157
2045736,0,-29.2134
135495594,0,-29.1824
2810396,0,-29.1783
3089113,0,-29.1719
4782855,0,-29.1695
4558233,0,-29.1565
943093,0,-29.1564
2443329,0,-29.152
3853257,0,-29.1478
6493481,0,-29.1461
24127759,0,-29.1451
2540495,0,-29.1429
1992371,0,-29.1328
2364508,0,-29.1232
3708673,0,-29.1228
795340,0,-29.1227
1104485,0,-29.12
771524,0,-29.1141
2730254,0,-29.1059
10667945,0,-29.1021
2993972,0,-29.0981
936962,0,-29.0898
2725313,0,-29.0843
6468253,0,-29.0748
2958236,0,-29.0555
1511880,0,-29.0464
1173303,0,-29.0436
2970243,0,-29.0314
2732235,0,-29.0274
2731043,0,-29.0199
2063440,0,-29.0194
3135471,0,-28.9978
914832,0,-28.9949
2821191,0,-28.9916
135412584,0,-28.9879
2809943,0,-28.9556
7207450,0,-28.9458
878337,0,-28.9426
24793805,0,-28.9086
4882049,0,-28.8968
4783159,0,-28.8954
2743534,0,-28.8941
830456,0,-28.8927
2896322,0,-28.8904
2822406,0,-28.8742
4309964,0,-28.8613
738342,0,-28.8595
2732409,0,-28.8447
2732288,0,-28.842
6939051,0,-28.8272
620872,0,-28.8124
792345,0,-28.8116
6883300,0,-28.8094
2723716,0,-28.8081
24818683,0,-28.8036
2469443,0,-28.7979
8169271,0,-28.7906
949960,0,-28.7841
2963653,0,-28.7817
25237457,0,-28.7771
734342,0,-28.7754
921731,0,-28.7691
798624,0,-28.769
3779521,0,-28.7671
2801062,0,-28.7638
2520723,0,-28.7613
1482067,0,-28.7487
806872,0,-28.742
3372572,0,-28.7404
936790,0,-28.7362
3560036,0,-28.7345
6862097,0,-28.7319
2526776,0,-28.7302
972529,0,-28.7256
2110260,0,-28.7255
694542,0,-28.7202
6488674,0,-28.7168
807675,0,-28.7114
7593509,0,-28.7039
23724291,0,-28.6976
569750,0,-28.6883
4157467,0,-28.6873
796932,0,-28.6859
6623381,0,-28.684
1880385,0,-28.675
1245613,0,-28.673
974490,0,-28.6725
718078,0,-28.6543
7709801,0,-28.6503
2740856,0,-28.6492
2823650,0,-28.6421
694571,0,-28.6296
24982728,0,-28.622
2837289,0,-28.6219
3491138,0,-28.6202
2745716,0,-28.6191
5938473,0,-28.6153
16192855,0,-28.6139
611339,0,-28.6015
25237258,0,-28.5984
4316178,0,-28.5941
6870484,0,-28.5929
6466545,0,-28.5852
1135781,0,-28.5825
2233891,0,-28.5647
9658844,0,-28.5618
1520108,0,-28.5425
3824948,0,-28.5357
2060890,0,-28.5355
2729535,0,-28.5157
2804978,0,-28.5152
722802,0,-28.5138
2846577,0,-28.5137
668892,0,-28.4925
4901267,0,-28.4862
911234,0,-28.4789
24792532,0,-28.4743
808394,0,-28.4691
2731884,0,-28.4683
2215751,0,-28.4662
2920969,0,-28.4635
2968496,0,-28.4625
22332367,0,-28.4601
5238384,0,-28.4581
2816297,0,-28.453
2811624,0,-28.452
16278562,0,-28.4458
3761725,0,-28.4391
682310,0,-28.4376
752442,0,-28.4374
682699,0,-28.4322
1559791,0,-28.4305
16800466,0,-28.4215
16682080,0,-28.4191
2846656,0,-28.4148
2961115,0,-28.4134
2147692,0,-28.4127
3559597,0,-28.4088
5434995,0,-28.4048
6458794,0,-28.3985
6486036,0,-28.3984
1985463,0,-28.3964
20969001,0,-28.3957
6401499,0,-28.3866
9660643,0,-28.3703
2741453,0,-28.3583
